open,high,low,close,volume,market,viable
0.97385,1.04,0.92495,1.01,2138450,49964500,0
0.00443,0.00737,0.00436,0.0067,317,6760,0
0.01474,0.01546,0.00916,0.0093,95,568819,1
1.00E-05,2.00E-05,1.00E-05,1.00E-05,517,364598,1
0.03593,0.03804,0.03203,0.03211,111,13683,1
106.37,116.21,93.56,96.46,17212,65896400,1
0.02833,0.03924,0.02833,0.03696,238,43611,0
47.95,53.24,45.87,49.23,951,462484,1
0.00013,0.00014,0.00012,0.00012,542,146704,1
0.0016,0.00176,0.00156,0.00164,8447,328538,1
0.02036,0.02067,0.0193,0.01957,4058,320541,1
0.00557,0.01048,0.00543,0.00892,6817,26405,1
0.00912,0.0094,0.00669,0.00679,258,396807,1
8.00E-05,8.00E-05,6.00E-05,8.00E-05,3067,793413,1
0.04047,0.04981,0.02872,0.03248,6795,50259,1
0.00038,5.00E-04,0.00037,0.00041,1354,92396,1
0.00482,0.00482,0.0035,0.00351,495,42690,1
0.00034,0.00098,0.00034,0.00098,3,859,1
0.00013,0.00013,0.00013,0.00013,3,5077,1
44.84,51.92,42.85,44.61,585886,25080600,1
1.66,1.75,1.59,1.64,332,325605,1
0.00027,0.00027,0.00022,0.00022,5,727,1
1.43,1.44,1.42,1.43,41563,4325970,1
0.00396,0.004,0.00377,0.00379,148,230787,1
1.00E-05,1.00E-05,1.00E-05,1.00E-05,87,15957,1
5.00E-04,0.00066,0.00049,0.00065,27,11115,1
0.00048,0.00048,0.00034,0.00048,4,29211,1
1.00E-05,2.00E-05,1.00E-05,1.00E-05,196,479145,1
0.06159,0.06309,0.06017,0.06165,263729,1032780,1
3.00E-05,3.00E-05,3.00E-05,3.00E-05,11,15560,1
0.01237,0.01257,0.01207,0.01207,140,409044,1
2.41,2.45,2.21,2.28,18372,1960720,1
0.62464,0.6587,0.55853,0.59281,5198,789455,1
0.26522,0.33213,0.18953,0.25368,310100,1732160,1
0.02303,0.02643,0.02212,0.0222,481,152290,1
2.00E-04,0.00023,2.00E-04,0.00022,1,4432,1
0.01752,0.01938,0.0142,0.01426,1920,52255,0
0.03798,0.04129,0.03405,0.03532,509,1922550,0
0.01339,0.01432,0.01134,0.0114,8782,755076,1
0.01195,0.0167,0.01195,0.01543,18,15746,0
0.00613,0.0067,0.00599,0.0067,831,1520500,1
0.00016,0.00016,0.00014,0.00015,2,4940,1
0.00028,3.00E-04,0.00027,0.00028,821,107977,1
1.00E-05,1.00E-05,1.00E-05,1.00E-05,122,15327,1
0.01758,0.01895,0.01377,0.01565,23584100,187684000,1
0.16277,0.16322,0.15433,0.15765,163164,12133500,1
0.04638,0.04706,0.03288,0.03288,1554,5003640,0
0.00017,2.00E-04,0.00011,0.00017,15,2378,1
0.03169,0.03341,0.03168,0.03239,305,111167,1
0.00036,0.00045,0.00036,0.00045,4,3102,1
0.00344,0.00344,0.00217,0.00227,93,4108,1
0.04053,0.04152,0.01468,0.03135,2904,700821,1
0.23283,0.31557,0.22891,0.27705,38628,2328330,0
0.00054,0.00055,0.00047,0.00054,36,537888,1
0.07355,0.08167,0.07273,0.0805,6,19259,0
0.00012,0.00015,9.00E-05,1.00E-04,7,1116,1
0.00151,0.00155,0.00024,0.00025,2,3196,0
4.00E-05,4.00E-05,3.00E-05,3.00E-05,2,185,1
0.00045,0.00057,0.00045,0.00055,154,448103,0
0.00448,0.0059,0.00448,0.00467,8,18844,1
0.02501,0.02542,0.01791,0.02149,191,100906,1
1.99,2.12,1.91,2.03,108019,2031350,0
2.01,2.02,1.98,2,86,1102760,1
2.00E-05,2.00E-05,2.00E-05,2.00E-05,654,139770,1
0.00024,0.00026,0.00024,0.00024,3,5225,1
0.00307,0.00322,0.00252,0.00293,68,2908250,1
1.00E-05,1.00E-05,1.00E-05,1.00E-05,98,273406,1
0.0023,0.00244,0.00183,0.00244,26,21916,1
0.04562,0.04617,0.04519,0.04525,865,103486,1
0.00207,0.00222,0.00191,0.00208,137,33183,1
0.005,0.00503,0.00464,0.00486,1724,1241080,1
0.00064,0.00082,0.00064,0.00082,101,20828,1
0.01749,0.02012,0.01648,0.01914,262570,3684140,1
0.00038,0.00046,0.00037,0.00044,10,4661,1
0.00255,0.00276,0.00255,0.00261,88,197013,1
1.00E-05,1.00E-05,1.00E-05,1.00E-05,1060,285804,1
0.00116,0.00119,8.00E-04,0.00089,7,14643,1
0.02569,0.0258,0.01941,0.02484,110,3216,1
0.00656,0.00665,0.00656,0.00664,1,39548,1
0.16326,0.16326,0.14813,0.15426,41324,3870950,1
0.00122,0.00122,0.00117,0.00122,1,29193,1
0.85688,0.87923,0.72993,0.81028,113424,4725350,1
0.00042,0.00048,0.00039,4.00E-04,103,54312,1
0.03898,0.04366,0.03791,0.04115,56477,656208,1
0.01907,0.02247,0.01838,0.02211,5,23028,1
0.0076,0.01097,0.0071,0.00858,49639,86647,1
0.00575,0.00581,0.00533,0.00538,444,197735,1
0.02923,0.04886,0.02923,0.04878,88,4642,1
0.11592,0.14445,0.08863,0.09571,724,2452150,0
0.09753,0.11308,0.09728,0.11243,8,9598,1
0.00147,0.00159,0.00147,0.00153,164,15843,1
0.04076,0.0553,0.03128,0.03509,7,384595,1
0.10535,0.10596,0.08484,0.09619,25183,4247850,1
0.00518,0.00524,0.00473,0.0052,269,22142,1
0.00014,0.00015,0.00013,0.00013,2681,564396,1
0.00047,0.00092,0.00047,5.00E-04,108,7847,1
5.00E-05,6.00E-05,3.00E-05,4.00E-05,26184,1032660,1
0.02698,0.03576,0.0259,0.02708,17411,229482,1
0.01597,0.01634,0.01486,0.01548,407,345057,1
0.00021,0.00026,0.00021,0.00022,4,438,0
0.00741,0.00741,0.00627,0.00667,319,44843,1
0.00285,0.00588,0.00223,0.00588,56,5610,1
5.00E-05,5.00E-05,3.00E-05,3.00E-05,1076,1478510,1
0.00036,4.00E-04,0.00036,0.00038,48,3293,0
7.00E-05,8.00E-05,6.00E-05,7.00E-05,6587,692004,1
0.08729,0.17775,0.08729,0.12642,659,23546,1
0.00642,0.00683,0.00613,0.00676,275,76489,1
0.01288,0.0145,0.01258,0.01346,1942,334340,1
9.00E-05,0.00011,7.00E-05,7.00E-05,26,108784,1
0.00712,0.00779,0.00613,0.00727,3405,428900,0
0.00053,0.00084,0.00053,0.00069,5341,258280,1
0.0079,0.00809,0.00775,0.00775,1258,304818,1
0.24337,0.26522,0.24208,0.25626,2787,3965630,1
0.01146,0.01189,0.01004,0.0104,236,138160,1
0.01005,0.01006,0.00721,0.00782,983,46800,1
0.00051,0.00057,0.00051,0.00055,126,254952,1
0.00021,0.00021,0.00021,0.00021,4,2204,1
0.00076,0.00077,0.00024,0.00041,2465,81849,0
0.00849,0.01049,0.00578,0.00578,401,39485,1
0.03458,0.03533,0.03443,0.03533,301,216765,1
0.19518,0.19906,0.17246,0.18372,357,120949,1
0.04918,0.05257,0.03979,0.04532,1236,182386,1
0.0281,0.02899,0.02482,0.02707,3487,450172,1
0.00267,0.0029,0.00267,0.00284,3,4478,0
0.01119,0.01206,0.01119,0.01206,3,13508,1
0.27107,0.27377,0.24969,0.26262,7380,384736,1
0.00316,0.00317,0.00297,0.00307,50,15956,1
2.00E-05,2.00E-05,2.00E-05,2.00E-05,1,696,1
0.12259,0.13747,0.11476,0.12379,5847,1639760,1
2.00E-05,3.00E-05,2.00E-05,2.00E-05,3816,587708,1
0.62283,0.62464,0.58822,0.59406,5675,695205,1
0.00063,0.00093,0.00052,0.00075,66,10576,0
0.01347,0.01364,0.00986,0.01325,210,28184,1
0.01391,0.01477,0.01193,0.01306,51437,1728070,1
0.00208,0.0107,0.00207,0.0107,942,4732,1
0.00269,0.00297,0.00269,0.00274,160,34461,1
809.96,836.87,809.85,826,17984400,9981850000,1
1.00E-05,1.00E-05,1.00E-05,1.00E-05,1,28655,1
0.04554,0.06759,0.04305,0.04559,13357,2084560,1
0.24167,0.24167,0.22988,0.2306,203661,18434600,1
0.10059,0.10081,0.09464,0.09485,1,15853,1
1,1,0.98522,0.98522,12160,2248390,1
1.77,2.18,1.68,2.12,126632,6863120,1
0.00268,0.00276,0.00257,0.00276,14345,12922300,1
0.05185,0.05746,0.04991,0.05205,11798,1555280,1
0.00221,0.0025,0.0022,0.00222,7,5412,1
0.00075,0.00079,0.00075,0.00076,258,18056,1
0.21569,0.25238,0.21569,0.24585,2393,843448,1
0.05736,0.05763,0.057,0.05721,33,5313,1
1.00E-04,0.00011,1.00E-04,0.00011,290,99648,1
0.03192,0.03721,0.0127,0.01515,455,84540,1
0.00259,0.00275,0.00106,0.00108,59,88629,0
0.23864,0.31267,0.23138,0.24033,40192,414056,1
4.00E-04,0.00042,0.00032,0.00032,28,29280,1
0.00756,0.00756,0.00742,0.00743,414310,245456000,1
0.0133,0.01541,0.01322,0.01522,86,71943,0
0.00774,0.00835,0.00766,0.00817,83,6855,0
0.00637,0.03423,0.00636,0.03418,38,133235,1
0.05782,0.06608,0.05168,0.05351,12977,2754630,1
0.00015,0.00016,0.00015,0.00016,2,1803,1
0.2053,0.23422,0.20493,0.21293,429248,12201000,1
4.00E-05,5.00E-05,4.00E-05,4.00E-05,1196,8016230,1
0.08021,0.16757,0.08021,0.15689,83581,401051,0
0.04293,0.04296,0.03495,0.03787,2993,743539,1
0.00029,3.00E-04,0.00028,3.00E-04,14,4462,1
1.00E-05,1.00E-05,1.00E-05,1.00E-05,295,102597,1
0.02468,0.02859,0.02106,0.02509,1624,255858,1
0.00017,0.00021,0.00016,0.00019,583,3957,1
0.0802,0.08188,0.06782,0.07502,528,312923,1
0.02348,0.02699,0.02113,0.02595,1153,162120,1
0.00143,0.00283,0.00143,0.00282,4,1070,1
0.04094,0.04427,0.04075,0.04336,57,6504,1
